"x"
"Cynopotamus xinguano"
"Cyphocharax abramoides"
"Cyphocharax boiadeiro"
"Cyphocharax cramptoni"
"Cyphocharax derhami"
"Cyphocharax festivus"
"Cyphocharax gangamon"
"Cyphocharax gouldingi"
"Cyphocharax laticlavius"
"Cyphocharax leucostictus"
"Cyphocharax mestomyllon"
"Cyphocharax multilineatus"
"Cyphocharax muyrakytan"
"Cyphocharax nigripinnis"
"Cyphocharax notatus"
"Cyphocharax pantostictos"
"Cyphocharax plumbeus"
"Cyphocharax sanctigabrielis"
"Cyphocharax signatus"
"Cyphocharax spiluropsis"
"Cyphocharax spilurus"
"Cyphocharax stilbolepis"
"Cyphocharax vanderi"
"Cyphocharax vexillapinnus"
"Dekeyseria amazonica"
"Dekeyseria brachyura"
